,mean_batch_size,cost,std_throughput_qps,fname,gpu_type,p99_latency,num_cpus_per_replica,mean_throughput_qps,cloud
0,11.992,0.795,2.58640526142,results-180124_061629.json,k80,0.99230868,2,66.2912734608,aws
1,3.99666666667,0.795,0.83081498198,results-180124_052620.json,k80,0.50580888,2,49.5829824569,aws
2,1.0,0.795,0.0151916360457,results-180124_042912.json,k80,0.10062174,2,21.4408610617,aws
3,16.0,0.795,1.57843400722,results-180124_062745.json,k80,1.21906849,2,70.9344413228,aws
4,9.99333333333,0.795,2.27303708572,results-180124_060533.json,k80,0.89137079,2,64.1957158862,aws
5,63.9,0.795,5.76349410732,results-180124_100721.json,k80,4.25612,2,75.1257965973,aws
6,23.9807692308,0.795,6.2975368125,results-180124_071330.json,k80,1.77246366,2,70.7180039668,aws
7,31.5436363636,0.795,6.02433603548,results-180124_073234.json,k80,2.21485742,2,72.0418505305,aws
8,5.81817496229,0.795,0.464164653742,results-180124_054235.json,k80,0.31619533,2,56.9158728242,aws
9,1.91522221817,0.795,0.128658060368,results-180124_051005.json,k80,0.20926928,2,32.1862963727,aws
10,7.99473684211,0.795,2.32792788045,results-180124_055354.json,k80,0.76107676,2,61.0289534712,aws
11,47.96,0.795,5.53190412754,results-180124_093430.json,k80,3.29719337,2,73.4275555429,aws
